Name,lat,lon
Queen Mary University of London,51.524636,-0.04071
Ravensbourne University London,51.501677,0.005651
The University of Reading,51.457625,-0.945636
Robert Gordon University,57.118344,-2.14474
Roehampton University,51.455585,-0.247673
Rose Bruford College of Theatre and Performance,51.439271,0.106446
The Royal Academy of Music,51.523497,-0.1517
The Royal Agricultural University,51.709508,-1.994916
The Royal Central School of Speech and Drama,51.544325,-0.174205
Royal College of Music,51.499279,-0.176913
Royal Conservatoire of Scotland,55.865813,-4.257595
Royal Holloway and Bedford New College,51.424814,-0.566745
Royal Northern College of Music,53.468557,-2.236963
The Royal Veterinary College,51.536851,-0.133524
SRUC,55.921623,-3.176228
University of St Andrews,56.341239,-2.793287
St. George's Hospital Medical School,51.427798,-0.175228
University of St Mark & St John,50.420866,-4.110758
St Mary's University College,54.593162,-5.961323
"St Mary's University, Twickenham",51.436152,-0.335907
"University of Salford, The",53.483487,-2.270651
School of Oriental and African Studies,51.52235,-0.129259
Sheffield Hallam University,53.379194,-1.465255
The University of Sheffield,53.381363,-1.48853
London South Bank University,51.498708,-0.101772
University of South Wales,51.587622,-3.327445
"Solent University, Southampton",50.907747,-1.400166
University of Southampton,50.934099,-1.395714
Staffordshire University,52.812975,-2.081855
University of Stirling,56.145463,-3.920023
Stranmillis University College,54.571733,-5.936458
University of Strathclyde,55.86125,-4.244706
University of Sunderland,54.904456,-1.390973
The University of Surrey,51.242572,-0.587946
University of Sussex,50.86447,-0.087076
Swansea University,51.609627,-3.980616
Teesside University,54.572076,-1.234694
The University of West London,51.507259,-0.303013
Trinity Laban Conservatoire of Music and Dance,51.483587,-0.007198
University of the Highlands and Islands,57.469405,-4.230246
University of Ulster,55.149335,-6.676089
University of Suffolk,52.052392,1.163459
University College Birmingham,52.48184,-1.905939
University College London,51.523569,-0.132424
The University of Warwick,52.385576,-1.564787
"University of the West of England, Bristol",51.501079,-2.547458
University of the West of Scotland,55.843316,-4.429782
The University of Westminster,51.516792,-0.143367
University of Winchester,51.060002,-1.32674
University of Wolverhampton,52.587529,-2.12806
University of Worcester,52.197366,-2.243085
Writtle University College,51.737196,0.428133
York St John University,53.964844,-1.079543
University of York,53.948278,-1.051673
Arden University Limited,52.369609,-1.467926
Askham Bryan College,53.92097,-1.161525
Bishop Auckland College,54.651079,-1.693895
Bishop Burton College,53.851547,-0.506413
Blackburn College,53.748756,-2.489596
Blackpool and the Fylde College,53.860914,-3.027619
Bradford College,53.791957,-1.760308
Burnley College,53.79391705,-2.24717866
The Northern School of Art,54.57619976,-1.243111389
Colchester Institute,51.89364151,0.888683584
The College of Integrated Chinese Medicine,51.45341501,-0.97487336
Croydon College,51.37365623,-0.09513256
Farnborough College of Technology,51.28611236,-0.751744745
Hereford College of Arts,52.06084141,-2.697691131
South Thames Colleges Group,51.45668334,-0.190525474
Lamda Limited,51.4907551,-0.21550246
Contemporary Dance Trust Limited,51.52735592,-0.129093648
The Film Education Training Trust Limited,51.56935301,-0.195343702
Bloomsbury Institute Limited,51.51964212,-0.129132447
London School of Theology,51.61248247,-0.430772574
London Studio Centre Limited,51.61317635,-0.176821418
Loughborough College,52.76905921,-1.220130485
The Metanoia Institute,51.51287124,-0.294222545
Middlesbrough College,54.58013265,-1.226761946
Mountview Academy of Theatre Arts Limited,51.47484486,-0.069622774
Nazarene Theological College,53.41652258,-2.2417628
Nelson and Colne College,53.84449303,-2.220974416
New College Durham,54.79481681,-1.595583046
NCG,54.96844781,-1.628669695
DN Colleges Group,53.52787448,-1.132833916
Northern College of Acupuncture,53.95722604,-1.088157616
City College Norwich,52.6178602,1.286954427
Heart of Yorkshire Education Group,53.68578309,-1.504231745
Weston College of Further and Higher Education,51.35094307,-2.981492231
York College,53.92965249,-1.113468985
Royal Welsh College of Music and Drama,51.48675671,-3.184376702
Warwickshire College,52.28817543,-1.549165402
TEC Partnership,53.55374149,-0.092775831
University College of Estate Management,51.45328646,-0.963866045
Norland College Limited,51.37608454,-2.373165345
Northern School of Contemporary Dance,53.813197,-1.533391116
Royal Academy of Dramatic Art,51.52184593,-0.131321674
Istituto Marangoni Limited,51.51840081,-0.072475756
Cambridge Arts & Sciences Limited,52.18880478,0.143960492
Futureworks Training Limited,53.48230971,-2.253368031
London School of Management Education Limited,51.57494724,0.066101169
LTE Group,53.47311004,-2.184759873
The Markfield Institute of Higher Education,52.67671837,-1.271358931
Matrix College of Counselling and Psychotherapy Ltd,52.57043959,1.110921227
Moorlands College,50.76914889,-1.775078475
The Sherwood Psychotherapy Training Institute Limited,52.94750244,-1.158813773
Trinity College (Bristol) Limited,51.47682498,-2.629295675
St Mellitus College Trust,51.49346577,-0.187645331
BPP University Limited,51.50501879,-0.223108345
Amity Global Education Ltd,51.51922337,-0.131076202
The Cambridge Theological Federation,52.21109597,0.111466698
Court Theatre Training Company Ltd,51.5279709,-0.083467362
Leeds Conservatoire,53.79741021,-1.532638645
Academy of Live Technology Ltd,53.59280601,-1.30971996
BIMM University Limited,50.82489057,-0.160285261
City and Guilds of London Art School Limited,51.48722867,-0.107445702
Pearson College Limited,51.51684357,-0.123073274
Met Film School Limited,51.50901167,-0.306999331
Northeastern University - London,51.50609387,-0.071298431
ACM Guildford Limited,51.23663147,-0.577666902
University Centre Peterborough,52.58659957,-0.232448616
Hartpury University,51.90675769,-2.306238302
Regent's University London Limited,51.52600578,-0.154629805
LIBF Limited,51.50992312,-0.084045935
Nottingham Trent University,52.95814014,-1.15423404
Myerscough College,53.85341151,-2.763722339
Plumpton College,50.90432203,-0.069621002
Reaseheath College,53.08360757,-2.52571476
Holy Cross College,53.58483118,-2.299074802
Lincoln College,53.23093211,-0.532423338
Preston College,53.78500429,-2.699906773
RNN Group,53.43220438,-1.352502702
Royal Academy of Dance,51.46646101,-0.179418502
Solihull College and University Centre,52.40928813,-1.792496531
South Essex College of Further and Higher Education,51.5377498,0.711546798
Sparsholt College,51.08441169,-1.391959478
The Oldham College,53.54256746,-2.120437342
Wirral Metropolitan College,53.39509708,-3.019224341
SAE Education Limited,51.53724935,-0.077020952
ICMP Management Limited,51.54171733,-0.204199475
The University of Law Limited,51.52148698,-0.089683557
Point Blank Limited,51.53647119,-0.080094205
Elim Foursquare Gospel Alliance,52.11130538,-2.347333988
AECC University College,50.72729498,-1.828687457
Barnsley College,53.55637719,-1.482432145
"Bournemouth and Poole College, The",50.72459487,-1.962038831
University College of Osteopathy (The),51.50101427,-0.096480744
Brockenhurst College,50.82158835,-1.570241231
The SMB Group,52.76665339,-0.891359046
Bury College,53.58790193,-2.295206035
Calderdale College,53.71952943,-1.874548589
The Chicken Shed Theatre Trust,51.64451655,-0.145221833
National Centre for Circus Arts,51.52754472,-0.082536545
City of Sunderland College,54.90304304,-1.38413886
Furness College,54.11700436,-3.242506389
East Sussex College Group,50.78888697,0.271247698
Hertford Regional College,51.72488919,-0.02452739
Hugh Baird College,53.44527558,-2.989794002
Hull College,53.74633418,-0.33224236
ICON College of Technology and Management Ltd,51.51575115,-0.067640853
Kendal College,54.31771803,-2.747206528
Le Cordon Bleu Limited,51.51891888,-0.123672268
The City of Liverpool College,53.40238429,-2.973877816
Moulton College,52.28967191,-0.858084302
North East Surrey College of Technology (NESCOT),51.34230467,-0.244777031
North Warwickshire and South Leicestershire College,52.5302325,-1.44990446
Activate Learning,51.74947383,-1.265510702
Peter Symonds College,51.07199226,-1.321258258
City College Plymouth,50.37212152,-4.170152275
Rambert School of Ballet and Contemporary Dance,51.46182976,-0.321737689
Unified Seevic Palmer's College,51.48279587,0.353684028
"Sheffield College, The",53.37286727,-1.460210873
Havant and South Downs College,50.85998306,-1.004357038
The Trafford College Group,53.40506367,-2.349417689
Tyne Coast College,54.98629567,-1.420329802
Southport College,53.64834209,-2.997731131
St Helens College,53.45275726,-2.739535575
Strode College,51.13057534,-2.733994674
Telford College,52.69788597,-2.497314831
EKC Group,51.27553332,1.089757455
Truro and Penwith College,50.26181529,-5.10101476
West Herts College,51.66017436,-0.405946574
The WKCIC Group,51.52685439,-0.118457178
Weymouth College,50.62364112,-2.449914228
Wigan and Leigh College,53.54897597,-2.635302545
Wiltshire College and University Centre,51.4627289,-2.11147656
Yeovil College,50.94787691,-2.637029302
University of Cambridge,52.20534282,0.113178727
Chichester College Group,50.83496982,-0.787535816
Gr_p Llandrillo Menai,53.31142393,-3.486342703
Wrexham Glynd_r University,53.05260069,-3.006169982
Fareham College,50.85079646,-1.199461918
Architectural Association (Incorporated),51.51823637,-0.130791031
RTC Education Ltd,51.57776611,-0.368197231
Gr_p Colegau NPTC Group of Colleges,51.6665909,-3.811520121
David Game College Ltd,51.51291616,-0.076384945
Belfast Metropolitan College,54.60005837,-5.93647306
Empire College London Limited,51.55788497,0.071728269
London School of Commerce & IT Limited,51.51558767,-0.065078402
Results Consortium Limited,51.54337377,0.708774198
Christ the Redeemer College,51.57748957,-0.369417274
British Academy of Jewellery Limited,51.54388925,-0.15161896
Raindance Educational Services Limited,51.50790625,-0.12540949
Paris Dauphine International,51.53205745,-0.108844691
The College of Health Ltd,51.60104059,-1.124019445
Hull and York Medical School,53.95007106,-1.050967873
Brighton and Sussex Medical School,50.8641833,-0.085700602
